DATASET,Method,Mean,Std_Dev,Median,Min,Max,N
FD001,CNN,16.79428571,13.52905005,12.41,7.4,47.11,7
FD001,CNN-LSTM,13.43130769,2.453945204,13.017,10.51,18.39,13
FD001,LSTM,14.44726,4.026815035,14.175,7.78,20.7254,10
FD002,CNN,14.452,1.934727371,14.67,11.6,17.04,5
FD002,CNN-LSTM,17.774,4.317599153,16.168,13.21,26.5,10
FD002,LSTM,21.4640625,4.211393122,21.47,15.25,29.4325,8
FD003,CNN,11.384,2.427371006,12.33,7.1,12.94,5
FD003,CNN-LSTM,13.68336364,2.178650971,13.54,11.08,17.92,11
FD003,LSTM,13.697375,2.996612513,14.26,8.3,18.069,8
FD004,CNN,16.83,2.71222418,16.2,13.6,20.49,6
FD004,CNN-LSTM,20.50736364,3.538011879,19.96,15.64,28.04,11
FD004,LSTM,22.263125,4.255289933,21.775,17.63,28.395,8
,,,,,,,
,,,,,,,
,,,,,,,
C-MAPSS dataset,Method,Count (n),Mean,Median,Min,Max,Standard Deviation
FD001,CNN,7,16.79,12.41,7.40,47.11,13.53
,CNN-LSTM,13,13.43,13.02,10.51,18.39,2.45
,LSTM,10,14.45,14.18,7.78,20.73,4.03
FD002,CNN,5,14.45,14.67,11.60,17.04,1.93
,CNN-LSTM,10,17.77,16.17,13.21,26.50,4.32
,LSTM,8,21.46,21.47,15.25,29.43,4.21
FD003,CNN,5,11.38,12.33,7.10,12.94,2.43
,CNN-LSTM,11,13.68,13.54,11.08,17.92,2.18
,LSTM,8,13.70,14.26,8.30,18.07,3.00
FD004,CNN,6,16.83,16.20,13.60,20.49,2.71
,CNN-LSTM,11,20.51,19.96,15.64,28.04,3.54
,LSTM,8,22.26,21.78,17.63,28.40,4.26
,,,,,,,
